0,REA,0
0,REA,1
0,REA,1701
0,REA,1430
0,REA,1166
1,REA,1
1,REA,332
1,REA,470
1,REA,1231
2,REA,2
2,REA,3
2,REA,2582
2,REA,441
2,REA,665
2,REA,2034
2,REA,45
3,REA,10
4,REA,595
4,REA,4
4,REA,5
4,REA,2263
4,REA,2248
4,REA,2173
4,REA,223
5,REA,466
5,REA,2172
5,REA,2018
5,REA,5
6,REA,1750
6,REA,1025
6,REA,74
6,REA,30
6,REA,6
7,REA,8
7,REA,833
8,REA,8
8,REA,327
8,REA,2451
8,REA,101
9,REA,9
9,REA,2614
9,REA,1095
10,REA,10
10,REA,306
11,REA,2034
11,REA,11
11,REA,979
12,REA,1001
12,REA,12
12,REA,2221
12,REA,1318
12,REA,2543
13,REA,1441
13,REA,1810
13,REA,13
14,REA,45
14,REA,775
14,REA,1336
14,REA,2667
14,REA,2493
14,REA,14
14,REA,15
15,REA,16
15,REA,640
15,REA,2034
15,REA,2501
15,REA,395
15,REA,15
16,REA,16
16,REA,17
16,REA,2450
16,REA,2196
16,REA,464
16,REA,358
17,REA,17
17,REA,1316
17,REA,1301
17,REA,927
17,REA,2159
18,REA,1512
18,REA,18
18,REA,19
18,REA,133
18,REA,103
18,REA,1624
18,REA,505
19,REA,1937
20,REA,370
20,REA,20
20,REA,21
20,REA,2270
20,REA,189
21,REA,1920
21,REA,2333
21,REA,22
22,REA,1877
22,REA,22
22,REA,151
22,REA,1160
22,REA,1702
22,REA,2238
23,REA,24
23,REA,2157
24,REA,2642
24,REA,2139
24,REA,2676
24,REA,24
24,REA,1636
24,REA,143
24,REA,1628
24,REA,2383
25,REA,2016
25,REA,25
25,REA,1403
25,REA,2508
25,REA,724
26,REA,1521
26,REA,99
26,REA,2455
26,REA,26
26,REA,27
26,REA,2252
26,REA,122
27,REA,224
27,REA,531
27,REA,2372
27,REA,27
27,REA,28
27,REA,1663
28,REA,246
29,REA,258
29,REA,43
29,REA,29
30,REA,34
30,REA,405
30,REA,1080
30,REA,1259
30,REA,61
30,REA,30
31,REA,32
31,REA,1165
32,REA,32
32,REA,33
32,REA,242
32,REA,1652
32,REA,2105
32,REA,1914
33,REA,33
33,REA,2001
33,REA,2117
33,REA,2042
33,REA,1032
33,REA,218
33,REA,442
33,REA,893
33,REA,286
33,REA,1999
34,REA,35
35,REA,35
35,REA,2404
35,REA,1987
35,REA,2367
36,REA,1505
36,REA,306
36,REA,36
36,REA,517
36,REA,1089
36,REA,2209
36,REA,109
36,REA,2094
37,REA,1184
37,REA,2425
37,REA,37
37,REA,38
37,REA,55
38,REA,38
38,REA,39
38,REA,2534
38,REA,2330
38,REA,733
38,REA,2671
39,REA,1697
39,REA,2310
39,REA,39
39,REA,2648
39,REA,1096
39,REA,1964
39,REA,2605
39,REA,94
40,REA,40
40,REA,41
40,REA,1702
40,REA,1918
40,REA,1049
41,REA,2176
41,REA,1296
41,REA,2407
41,REA,41
41,REA,42
41,REA,2334
42,REA,842
42,REA,43
42,REA,1393
43,REA,963
43,REA,884
43,REA,89
43,REA,43
43,REA,44
43,REA,2350
43,REA,2493
44,REA,946
44,REA,44
44,REA,366
44,REA,1151
45,REA,486
45,REA,1692
45,REA,45
45,REA,78
45,REA,2685
46,REA,1738
46,REA,902
46,REA,46
47,REA,559
47,REA,1667
47,REA,47
48,REA,48
48,REA,49
48,REA,1666
48,REA,148
48,REA,2521
48,REA,788
48,REA,2122
48,REA,1951
48,REA,2493
48,REA,143
49,REA,50
49,REA,86
50,REA,241
51,REA,51
51,REA,421
51,REA,710
51,REA,2472
51,REA,457
51,REA,1903
52,REA,52
52,REA,53
52,REA,1628
52,REA,2170
52,REA,2172
52,REA,2202
53,REA,72
53,REA,616
53,REA,59
53,REA,53
54,REA,104
54,REA,873
54,REA,54
55,REA,65
55,REA,2083
55,REA,228
55,REA,323
55,REA,1229
55,REA,210
55,REA,947
55,REA,436
55,REA,55
55,REA,88
